form,arm,i,seed,direction,mentions_bet,n_good_cause,n_bad_cause,has_mapping_string,first_mapping_string,first_mapping_char_offset,n_output_tokens
B,above_good,7,7071,unclear,True,0,0,0,,-1,382
B,above_good,8,7072,incorrect,True,0,0,0,,-1,641
B,above_good,9,7073,incorrect,True,0,0,0,,-1,564
B,above_good,10,7074,unclear,True,0,0,0,,-1,393
B,above_good,11,7075,unclear,True,0,0,0,,-1,380
B,above_good,12,7076,correct,True,1,0,1,good cause,1182,327
B,above_good,13,7077,correct,True,1,0,1,good cause,1120,322
B,above_good,14,7078,unclear,True,0,0,0,,-1,360
B,above_good,15,7079,correct,True,0,0,0,,-1,373
B,above_good,16,7080,correct,True,0,1,1,bad cause,1245,347
B,above_good,17,7081,unclear,True,0,0,0,,-1,407
B,above_good,18,7082,incorrect,True,0,0,0,,-1,460
B,above_good,19,7083,correct,True,0,0,0,,-1,552
B,above_good,20,7084,correct,True,1,0,1,good cause,1221,315
B,above_good,21,7085,correct,True,0,0,0,,-1,493
B,above_good,22,7086,unclear,True,0,0,0,,-1,437
B,above_good,23,7087,correct,True,1,0,1,good cause,1297,333
B,above_good,24,7088,unclear,True,0,0,0,,-1,502
B,above_good,25,7089,correct,True,0,0,0,,-1,484
B,above_good,26,7090,correct,True,0,1,1,bad cause,1407,445
B,above_good,27,7091,unclear,True,0,0,0,,-1,389
B,above_good,28,7092,correct,True,1,0,1,good cause,1138,327
B,above_good,29,7093,correct,True,1,0,1,good cause,1039,387
B,above_good,30,7094,unclear,True,1,0,1,good cause,1348,383
B,above_good,31,7095,correct,True,0,0,0,,-1,404
B,above_good,32,7096,correct,True,0,1,1,bad cause,1393,367
B,above_good,33,7097,correct,True,1,1,1,bad cause,1211,514
B,above_good,34,7098,correct,True,1,0,1,good cause,1018,288
B,above_good,35,7099,incorrect,True,0,0,0,,-1,410
B,above_good,36,7100,incorrect,True,0,0,0,,-1,790
B,above_good,37,7101,unclear,True,0,0,0,,-1,456
B,above_good,38,7102,correct,True,1,0,1,good cause,1430,395
B,above_good,39,7103,unclear,True,0,0,0,,-1,403
B,above_good,40,7104,correct,True,0,0,0,,-1,589
B,above_good,41,7105,incorrect,True,0,0,0,,-1,431
B,above_good,42,7106,correct,True,1,0,1,good cause,1159,354
B,above_good,43,7107,unclear,True,0,0,0,,-1,457
B,above_good,44,7108,incorrect,True,0,1,1,bad cause,1228,770
B,above_good,45,7109,unclear,True,0,0,0,,-1,323
B,above_good,46,7110,incorrect,True,0,0,0,,-1,525
B,above_good,47,7111,incorrect,True,1,0,1,good cause,1242,344
B,above_good,48,7112,unclear,True,0,0,0,,-1,333
B,above_good,49,7113,correct,True,1,0,1,good cause,1549,444
B,above_good,50,7114,correct,True,0,1,1,bad cause,1783,508
B,above_good,51,7115,correct,True,1,0,1,good cause,1625,406
B,above_good,52,7116,correct,True,1,0,1,good cause,979,294
B,above_good,53,7117,correct,True,1,0,1,good cause,1279,361
B,above_good,54,7118,incorrect,True,1,0,1,good cause,1067,304
B,above_good,55,7119,unclear,True,0,0,0,,-1,308
B,above_good,56,7120,correct,True,1,0,1,good cause,1258,344
B,above_good,57,7121,correct,True,0,0,0,,-1,627
B,above_good,58,7122,unclear,True,0,0,0,,-1,661
B,above_good,59,7123,correct,True,0,0,0,,-1,499
B,above_good,60,7124,unclear,True,0,0,0,,-1,386
B,above_good,61,7125,incorrect,True,0,0,0,,-1,642
B,above_good,62,7126,correct,True,1,0,1,good cause,1390,375
B,above_good,63,7127,correct,True,1,0,1,good cause,1393,392
B,above_good,64,7128,incorrect,True,0,0,0,,-1,676
B,above_good,65,7129,incorrect,True,0,0,0,,-1,495
B,above_good,66,7130,correct,True,1,0,1,good cause,2186,661
B,above_good,67,7131,correct,True,0,1,1,bad cause,1708,478
B,above_good,68,7132,unclear,True,0,0,0,,-1,455
B,above_good,69,7133,correct,True,0,1,1,bad cause,1834,470
B,above_good,70,7134,incorrect,True,0,0,0,,-1,925
B,above_good,71,7135,unclear,True,0,0,0,,-1,398
B,above_good,72,7136,correct,True,1,0,1,good cause,1631,417
B,above_good,73,7137,incorrect,True,1,0,1,good cause,1273,338
B,above_good,74,7138,correct,True,1,0,1,good cause,1395,383
B,above_good,75,7139,correct,True,1,0,1,good cause,1407,373
B,above_good,76,7140,unclear,True,0,0,0,,-1,332
B,above_good,77,7141,correct,True,0,1,1,bad cause,1156,303
B,above_good,78,7142,unclear,False,0,0,0,,-1,399
B,above_good,79,7143,correct,True,1,0,1,good cause,1151,295
B,above_good,80,7144,correct,True,0,0,0,,-1,332
B,above_good,81,7145,incorrect,True,1,0,1,good cause,1311,350
B,above_good,82,7146,incorrect,True,0,0,0,,-1,421
B,above_good,83,7147,correct,True,1,0,1,good cause,1439,388
B,above_good,84,7148,unclear,True,0,0,0,,-1,395
B,above_good,85,7149,correct,True,1,0,1,good cause,1478,372
B,above_good,86,7150,correct,True,1,0,1,good cause,1671,494
B,above_good,87,7151,correct,True,1,0,1,good cause,1296,409
B,above_good,88,7152,unclear,True,0,0,0,,-1,447
B,above_good,89,7153,incorrect,True,1,0,1,good cause,1548,401
B,above_good,90,7154,correct,True,1,0,1,good cause,1330,369
B,above_good,91,7155,incorrect,True,0,0,0,,-1,626
B,above_good,92,7156,correct,True,1,0,1,good cause,1306,358
B,above_good,93,7157,correct,True,1,0,1,good cause,1595,468
B,above_good,94,7158,unclear,True,0,0,0,,-1,360
B,above_good,95,7159,incorrect,True,0,0,0,,-1,379
B,above_good,96,7160,correct,True,1,0,1,good cause,1445,379
B,above_good,97,7161,correct,True,0,0,0,,-1,495
B,above_good,98,7162,unclear,True,0,0,0,,-1,340
B,above_good,99,7163,incorrect,True,1,0,1,good cause,1301,344
B,above_good,100,7164,correct,True,1,0,1,good cause,1630,435
B,above_good,101,7165,unclear,True,0,0,0,,-1,424
B,above_good,102,7166,incorrect,True,0,0,0,,-1,372
B,above_good,103,7167,unclear,True,0,0,0,,-1,331
B,above_good,104,7168,correct,True,1,0,1,good cause,1542,402
B,above_good,105,7169,correct,True,1,0,1,good cause,1748,465
B,above_good,106,7170,unclear,True,0,0,0,,-1,363
B,above_good,107,7171,correct,True,0,0,0,,-1,446
B,above_good,108,7172,correct,True,0,0,0,,-1,371
B,above_good,109,7173,incorrect,True,1,0,1,good cause,1398,361
B,above_good,110,7174,correct,True,0,1,1,bad cause,1694,475
B,above_good,111,7175,correct,True,1,0,1,good cause,1485,428
B,above_good,112,7176,correct,True,1,0,1,good cause,1721,451
B,above_good,113,7177,unclear,True,0,0,0,,-1,473
B,above_good,114,7178,correct,True,0,1,1,bad cause,1380,382
B,above_good,115,7179,correct,True,0,1,1,bad cause,1204,340
B,above_good,116,7180,incorrect,True,0,0,0,,-1,690
B,above_good,117,7181,correct,True,1,0,1,good cause,2429,552
B,above_good,118,7182,incorrect,True,0,0,0,,-1,594
B,above_good,119,7183,incorrect,True,0,0,0,,-1,723
B,above_good,120,7184,correct,True,0,0,0,,-1,514
B,above_good,121,7185,incorrect,True,0,0,0,,-1,1074
B,above_good,122,7186,correct,True,1,0,1,good cause,1366,380
B,above_good,123,7187,correct,True,1,0,1,good cause,1020,288
B,above_good,124,7188,correct,True,1,0,1,good cause,1467,361
B,above_good,125,7189,unclear,True,0,0,0,,-1,429
B,above_good,126,7190,correct,True,1,0,1,good cause,1294,358
B,above_good,127,7191,unclear,True,0,0,0,,-1,426
B,above_good,128,7192,correct,True,0,1,1,bad cause,1224,348
B,above_good,129,7193,correct,True,1,0,1,good cause,1086,332
B,above_good,130,7194,correct,True,1,0,1,good cause,1444,389
B,above_good,131,7195,incorrect,True,0,1,1,bad cause,1355,377
B,above_good,132,7196,correct,True,1,0,1,good cause,1344,359
B,above_good,133,7197,correct,True,1,0,1,good cause,1487,403
B,above_good,134,7198,unclear,True,0,0,0,,-1,532
B,above_good,135,7199,correct,True,1,0,1,good cause,1270,347
B,above_good,136,7200,correct,True,1,0,1,good cause,1469,390
B,above_good,137,7201,correct,True,1,0,1,good cause,2024,507
B,above_good,138,7202,correct,True,1,0,1,good cause,1108,281
B,above_good,139,7203,unclear,True,0,0,0,,-1,346
B,above_good,140,7204,correct,True,1,0,1,good cause,1315,354
B,above_good,141,7205,correct,True,0,0,0,,-1,435
B,above_good,142,7206,correct,True,1,0,1,good cause,1447,398
B,above_good,143,7207,unclear,True,0,0,0,,-1,473
B,above_good,144,7208,correct,True,1,0,1,good cause,1350,373
B,above_good,145,7209,correct,True,0,1,1,bad cause,1179,320
B,above_good,146,7210,incorrect,True,0,1,1,bad cause,1329,358
B,above_good,147,7211,unclear,True,0,0,0,,-1,415
B,above_good,148,7212,incorrect,True,0,0,0,,-1,675
B,above_good,149,7213,correct,True,0,0,0,,-1,393
